model_name,mode,ngram,nr_cand,diversity,avg_metrics,time, É.... [first row is precision, second row is recall, third row is f1]
"all-mpnet-base-v2,Train,""(3,3)"",5,0.4,0.7911875,269.10361433029175"
"all-mpnet-base-v2,Train,""(3,3)"",5,0.4,0.765125,269.10361433029175"
"all-mpnet-base-v2,Train,""(3,3)"",5,0.4,0.7738125,269.10361433029175"
"all-mpnet-base-v2,Test,""(3,3)"",5,0.4,0.7889216047110784,91.02307677268982"
"all-mpnet-base-v2,Test,""(3,3)"",5,0.4,0.7583732057416268,91.02307677268982"
"all-mpnet-base-v2,Test,""(3,3)"",5,0.4,0.7685560053981106,91.02307677268982"
"sentence-transformers/paraphrase-MiniLM-L6-v2,Train,""(3,3)"",5,0.4,0.8004375,133.93947625160217"
"sentence-transformers/paraphrase-MiniLM-L6-v2,Train,""(3,3)"",5,0.4,0.774375,133.93947625160217"
"sentence-transformers/paraphrase-MiniLM-L6-v2,Train,""(3,3)"",5,0.4,0.7830625,133.93947625160217"
"sentence-transformers/paraphrase-MiniLM-L6-v2,Test,""(3,3)"",5,0.4,0.8012513801987486,45.10482597351074"
"sentence-transformers/paraphrase-MiniLM-L6-v2,Test,""(3,3)"",5,0.4,0.770702981229297,45.10482597351074"
"sentence-transformers/paraphrase-MiniLM-L6-v2,Test,""(3,3)"",5,0.4,0.7808857808857809,45.10482597351074"
"roberta-base,Train,""(3,3)"",5,0.4,0.6976875,252.38592624664307"
"roberta-base,Train,""(3,3)"",5,0.4,0.671625,252.38592624664307"
"roberta-base,Train,""(3,3)"",5,0.4,0.6803125,252.38592624664307"
"roberta-base,Test,""(3,3)"",5,0.4,0.6888111888111889,85.01960110664368"
"roberta-base,Test,""(3,3)"",5,0.4,0.6582627898417373,85.01960110664368"
"roberta-base,Test,""(3,3)"",5,0.4,0.668445589498221,85.01960110664368"
"roberta-large,Train,""(3,3)"",5,0.4,0.7234375,473.2201900482178"
"roberta-large,Train,""(3,3)"",5,0.4,0.697375,473.2201900482178"
"roberta-large,Train,""(3,3)"",5,0.4,0.7060625,473.2201900482178"
"roberta-large,Test,""(3,3)"",5,0.4,0.7206477732793523,159.4281919002533"
"roberta-large,Test,""(3,3)"",5,0.4,0.6900993743099006,159.4281919002533"
"roberta-large,Test,""(3,3)"",5,0.4,0.7002821739663845,159.4281919002533"
"albert-base-v2,Train,""(3,3)"",5,0.4,0.699125,230.3930892944336"
"albert-base-v2,Train,""(3,3)"",5,0.4,0.6730625,230.3930892944336"
"albert-base-v2,Train,""(3,3)"",5,0.4,0.68175,230.3930892944336"
"albert-base-v2,Test,""(3,3)"",5,0.4,0.6963562753036437,78.39472818374634"
"albert-base-v2,Test,""(3,3)"",5,0.4,0.6658078763341921,78.39472818374634"
"albert-base-v2,Test,""(3,3)"",5,0.4,0.675990675990676,78.39472818374634"
